type,year,term,subject,monndai,img,coices,correct,kaisetu,topic
normal,2025,後期,無線工学,"次の記述は、図に示す電源回路の基本的な構成例について述べたものである。(　　) 内に入れるべき字句の正しい組合せを下の番号から選べ。
  
(1) 交流電圧(電流)から一方向の電圧(電流)を作るのは、（　 A 　）の回路である。 
(2) 交流電源から必要な大きさの交流電圧を作るのは、（ 　B　 ）の回路である。 
(3) 整流された大きさが変化する電圧(電流)を、完全な直流電圧(電流)に近づけるのは、（ 　C　 ）の回路である。",img/202302_Kougaku_A_(11).png,1 　　A：Ⅱ      　B：Ⅲ      　C：Ⅰ ｜2 　　A：Ⅱ      　B：Ⅰ      　C： Ⅲ｜3 　　A：Ⅲ      　B：Ⅱ      　C：Ⅰ ｜4 　　A：Ⅰ      　B：Ⅱ      　C： Ⅲ  ｜5 　　A：Ⅰ      　B： Ⅲ     　C：Ⅱ,2,,
normal,2025,後期,無線工学,次の記述は、電圧計及び電流計について述べたものである。このうち正しいものを下の番号から選べ。,img/202108_Kougaku_A_(13).png,1  電圧計の内部抵抗は、一般に小さいほど良い。  ｜2  電流計の内部抵抗は、一般に大きいほど良い。  ｜3  一般に交流用には図1の表示記号、直流用には図2の表示記号が目盛板に表示されている。 ｜4  電流計の測定範囲を拡大するためには、分流器を電流計と直列に接続する。 ｜5  電圧計の測定範囲を拡大するためには、直列抵抗器を電圧計と直列に接続する。,5,,
binary,2025,後期,無線工学,SSB(J3E)受信機で用いられるものを1、用いられないものを2として解答せよ。 ,,IDC回路 ｜クラリファイヤ ｜プレエンファシス回路 ｜周波数混合器 ｜ 周波数弁別器,2-1-2-1-2,,
multi,2025,後期,無線工学,"次の記述は、電離層波の伝搬について述べたものである。（　　　）内に入れるべき字句を下の番号から選べ。 
(1) 臨界周波数は、周波数を変えて地上から （　ア　） 電波を発射し、電離層で反射されて戻ってきた電波のうち最も高い周波数である。 
(2) 最高使用可能周波数(MUF)は、臨界周波数より （　イ　） である。 
(3) 最高使用可能周波数(MUF)は、送受信点間の （　ウ　） 。 
(4) 最低使用可能周波数(LUF)以下の周波数の電波は、周波数が低くなるに伴って電離層での減衰が急激に （　エ　） する。 
(5) 最適使用周波数(FOT)は、最高使用可能周波数(MUF)の （　オ　） の周波数をいう。",, 垂直方向に ｜高い周波数 ｜ 距離によって変わらない     ｜減少      ｜85〔％〕 ｜水平から45度の方向に     ｜ 低い周波数     ｜ 距離によって変わる ｜ 増加 ｜50〔％〕,1-2-8-9-5,,
multi,2025,後期,無線工学,"次の記述は、GPS（Global Positioning System）について述べたものである。（　　　）内に入れるべき字句を下の番号から選べ。 
(1) GPS 衛星は、高度が約20,000〔ｋｍ〕の （　ア　） の円軌道上に配置されている。 
(2) GPS 衛星は、軌道上を約 （　イ　） 周期で周回している。 
(3) 測位に使用している周波数は （　ウ　） 帯である。 
(4) 三次元の測位を行うためには、GPS受信機内部の時計の時間誤差の補正を含め、通常 （　エ　） 個の衛星からの電波を受信する必要 がある。 
(5) GPS 衛星からの信号に含まれている （　オ　） 情報と、それぞれの衛星の軌道情報から受信点の位置を測位することができる。",, 五つ｜ 12時間 ｜超短波(VHF) ｜ 2 ｜時刻 ｜ 六つ ｜  24時間 ｜極超短波(UHF)｜4 ｜姿勢,6-2-8-9-5,,
multi,2025,後期,無線工学,"次の記述は、図1に示す半波長ダイポールアンテナ ( ANT ) 等 について述べたものである。（　　　）内に入れるべき字句を下の番号か ら選べ。ただし、波長を λ 〔m〕、電波の速度を c 〔m / s〕、周波数を f 〔Hz〕とする。 
(1) 電波の波長λは、λ = （　ア　） 〔m〕である。 
(2) 半波長ダイポールアンテナの利得は、等方性アンテナより （　イ　） 。 
(3) 半波長ダイポールアンテナの実効長は、 （　ウ　） 〔m〕で表される。 
(4) 基本波に共振しているときのアンテナ上の電流分布の概略を表す図は、図2の （　エ　） に示すものとなる。 
(5) アンテナの指向特性の概略を表す図は、図3の （　オ　） に示すものとなる。",img/202402_Kougaku_B_(4).png,c / f  ｜小さい  ｜λ /(2π)  ｜(b） ｜(d ) ｜2c / f   ｜大きい  ｜λ /π ｜(a )  ｜ (c）,1-7-8-4-5,,
multi,2025,後期,無線工学,"次の記述は、超短波(VHF)帯の電波の海上伝搬等について述べたものである。（　　　）内に入れるべき字句を下の番号から選べ。な お、同じ記号の 内には同じ字句が入るものとする。 
(1) 見通し距離内では、受信波は、 （　ア　） と海面からの反射波とが合成されたものである。 
(2) (1)のため、 （　ア　） と海面からの反射波が （　イ　） で合成されると、受信点の電界強度は、弱められる。 
(3) 標準大気中では、幾何学的見通し距離よりも遠方まで伝搬 （　ウ　） 。 
(4) 障害物の裏側に回り込む電波は、 （　エ　） という。 
(5) 夏季に電離層に （　オ　） が突発的に発生すると、電波は見通し距離の外まで伝搬することがある。",, 直接波 ｜逆相 ｜ しない ｜ 定在波 ｜スポラジックE層(ES層)  ｜ F層からの反射波 ｜同相 ｜ する ｜ 回折波｜D層,1-2-8-9-5,,
normal,2025,前期,無線工学,次の記述は、電気磁気に関する単位について述べたものである。このうち誤っているものを下の番号から選べ。 ,,1  〔 Wb 〕(ウェーバ)は、磁束の単位である。 ｜2  〔 H 〕(ヘンリー)は、インダクタンスの単位である。 ｜3  〔 Ω・m 〕(オームメートル)は、導電率の単位である。 ｜4  〔 V/m 〕(ボルト毎メートル)は、電界の強さの単位である。 ｜5  〔 A/m 〕(アンペア毎メートル)は、磁界の強さの単位である。,3,,
normal,2025,前期,無線工学,"次の式は、正弦波交流電圧の瞬時値vを表す式である。この正弦波交流電圧の実効値V及び周波数 fの値の組合せとして、正しいものを下の番号から選べ。ただし、時間をt〔s〕とする。 
 v = 100√2 sin(100πt )〔V〕 ",,1  　100 〔V〕　　　   25 〔Hz〕｜2  　100 〔V〕　　　   50 〔Hz〕 ｜3  　100 √2 〔V〕　    50 〔Hz〕 ｜4  　100 √2 〔V〕　  100 〔Hz〕 ｜5  　200 √2 〔V〕　  100 〔Hz〕,2,,
normal,2025,前期,無線工学,次は、論理回路の名称と真理値表の組合せを示したものである。このうち誤っているものを下の番号から選べ。ただし、正論理とし、A 及び B を入力、X を出力とする。,img/202502_Kougaku_A_(3).png,1 　 　AND ｜2 　　 OR ｜3 　 　NAND ｜4  　　NOR ｜5  　　EX-OR ,4,,
normal,2025,前期,無線工学,図は、位相同期ループ (PLL) を利用した発振回路の原理的な構成例を示したものである。（　　　） 内に入れるべき字句の正しい組合 せを下の番号から選べ。,img/202108_Kougaku_A_(5).png,1  　A：緩衝増幅器　　　　　　　B：電力増幅器 ｜2  　A：低域フィルタ(LPF)　　　 B：電力増幅器 ｜3  　A：低域フィルタ(LPF)　　　 B：電圧制御発振器 （VCO） ｜4  　A：高域フィルタ(HPF)　　　 B：電力増幅器 ｜5  　A：高域フィルタ(HPF)　　　 B：電圧制御発振器 （VCO） ,3,,
normal,2025,前期,無線工学,図は、FM (F3E) 受信機の基本的な構成例を示したものである。（　　　） 内に入れるべき字句の正しい組合せを下の番号から選べ。,img/202502_Kougaku_A_(5).png,1  　A：周波数変調器　　　　B：トーン発振回路 ｜2  　A：周波数変調器　　　　B：スケルチ回路 ｜3  　A：周波数混合器　　　　B：トーン発振回路 ｜4  　A：周波数混合器　　　　B：スケルチ回路 ｜5  　A：周波数混合器　　　　B：ゲート回路,4,,
normal,2025,前期,無線工学,"次の記述は、DSB (A3E) スーパヘテロダイン受信機の高周波増幅器の働きについて述べたものである。（　　）内に入れるべき字句の 正しい組合せを下の番号から選べ。 

(1) 高周波増幅器は、（　A　）から生ずる高周波がアンテナから放射されるのを防ぐ。 
(2) 高周波増幅器は、（　B　）や信号対雑音比(S/N)を良くする。 
(3) 高周波増幅器は、（　C　）による混信妨害を軽減する。",,1  　A：局部発振器　　　B：感度　　　　　C：影像周波数 ｜2  　A：局部発振器　　　B：リプル率　　　C：音声周波数 ｜3  　A：局部発振器　　　B：リプル率　　　C：影像周波数 ｜4  　A：検波器　　　　　B：感度　　　　　C：音声周波数｜5  　A：検波器　　　　　B：リプル率　　　C：影像周波数 ,1,,
normal,2025,前期,無線工学,次に示す周波数スペクトルに対応する電波の型式の組合せとして、正しいものを下の番号から選べ。ただし、電波は、振幅変調の無線電話とする。また、点線部分は、電波が出ていないものとする。,img/202402_Kougaku_A_(9).png,1　　A： J3E　　　B：A3E　　　C：H3E ｜2　　A：H3E　　　B： J3E　　　C：A3E ｜3　　A：H3E　　　B：A3E　　　C：J3E ｜4　　A：A3E　　　B： J3E　　　C：H3E ｜5　　A：A3E　　　B：H3E　　　C：J3E ,5,,
normal,2025,前期,無線工学,"次の記述は、一般的な船舶用パルスレーダーにおいて、最大探知距離を長くするための方法について述べたものである。 内に 入れるべき字句の正しい組合せを下の番号から選べ。
 
(1) アンテナの設置位置を（　A　）する。 
(2) アンテナ利得を（　B　）する。 
(3) パルス幅を広くし、繰返し周波数を（　C　）する。",,1  　A：高く   　B：大きく   　C：低く ｜2  　A：高く 　  B：小さく 　  C：低く ｜3  　A：高く 　  B：大きく   　C：高く ｜4  　A：低く 　  B：小さく 　  C：高く ｜5  　A：低く 　  B：大きく 　  C：高く,1,,
normal,2025,前期,無線工学,次の記述は、電池の一般的な特性について述べたものである。このうち誤っているものを下の番号から選べ。,img/202502_Kougaku_A_(9).png,1　マンガン乾電池は、一次電池であるので充放電を繰り返して使うことができない。 ｜2　電圧及び容量の等しい電池2個を図のように接続しても、合成容量は1個のときと変わらない。 ｜3　リチウムイオン蓄電池は、メモリー効果がないので、継ぎ足し充電ができる。 ｜4　鉛蓄電池の電解液（希硫酸）の比重は、放電が進むと小さくなる。 ｜5　完全に充電された容量が30〔Ah〕（10時間率）の蓄電池は、3〔A〕の電流を10時間流し続けることができる,2,,
normal,2025,前期,無線工学,"次の記述は、一般的な導波管の特徴について述べたものである。（　　　）内に入れるべき字句の正しい組合せを下の番号から選べ。
 
(1) 主として、（　A　）の伝送路として用いられる。 
(2) 導波管の内部は、（　B　）である。 
(3) 電波は導波管の外壁から放射（　C　）。",,1　超短波（VHF）帯中空 されない  ｜2　超短波（VHF）帯 磁性体 される 中空 されない ｜3　マイクロ波（SHF）帯 磁性体 される ｜4　マイクロ波（SHF）帯 中空 される ｜5　マイクロ波（SHF）帯 中空 されない,5,,
normal,2025,前期,無線工学,"次の記述は、図に示すアンテナについて述べたものである。（　　　）内に入れるべき字句の正しい組合せを下の番号から選べ。
 
(1) このアンテナの名称は、（　A　）アンテナである。 
(2) 同軸給電線の内部導体に（　B　）の長さ l の導体棒を接続し、同じ長さ l の導体を同軸給 電線の外部導体の外側にかぶせて給電点で接続したものである。 
(3) このアンテナを大地に垂直に設置したとき、水平面内の指向性は、（　C　）である。",img/202502_Kougaku_A_(11).png,1  　A：ブラウン   　B：1/2波長   　C：8字特性 ｜2  　A：ブラウン 　  B：1/4波長 　  C：8字特性 ｜3  　A：ブラウン   　B：1/4波長   　C：全方向性 ｜4  　A：スリーブ 　  B：1/4波長 　  C：全方向性 ｜5  　A：スリーブ 　  B：1/2波長 　  C：8字特性,4,,
normal,2025,前期,無線工学,"次の記述は、外形が図に示すようなアナログ式のテスタ （回路計) について述べたものである。（　　　）内に入れるべき字句の正しい組 合せを下の番号から選べ。 

(1) 指示計器には、（　A　）計器が使われる。 
(2) 通常、測定ができるのは、直流電圧、直流電流、抵抗及び（　B　）である。 
(3) 抵抗測定の時の零(0)オーム調整は、両テストリードの先端を（　C　）させて行う。",img/202402_Kougaku_A_(13).png,1  　A：可動鉄片形　　　　　　　　B：交流電圧　　　C： 短絡 ｜2  　A：可動鉄片形　　　　　　　　B：周波数　　　　C： 開放 ｜3  　A：永久磁石可動コイル形　　　B：周波数　　　　C：短絡 ｜4  　A：永久磁石可動コイル形　　　B：周波数　　　　C：開放 ｜5  　A：永久磁石可動コイル形　　　B：交流電圧　　　C：短絡,5,,
normal,2025,前期,無線工学,次の記述は、電離層について述べたものである。このうち誤っているものを下の番号から選べ。,,1　D層は、夜間に生じ、昼間にはほとんど消滅する。 ｜2　E層は、D層より高いところに生ずる。 ｜3　スポラジックE層 (Es) は、超短波 (VHF) 帯の電波の異常伝搬の原因となる。 ｜4　F層の最大電子密度は、D層の最大電子密度より高い。 ｜5　F層は、一般に短波 (HF) 帯の電波を反射する。,1,,
multi,2025,前期,無線工学,"次の記述は、図に示す特定の2地点間のMUF/LUF 曲線の例等について述べたものであ る。（　　　）内に入れるべき字句を下の番号から選べ。ただし、MUFは最高使用可能周波数、 LUF は最低使用可能周波数を示す。
 
(1) 一般に、MUF曲線とLUF曲線とで挟まれた範囲の周波数は通信に用いることが （　ア　） 。 
(2) LUF 曲線より低い周波数は、電離層での減衰が （　イ　） 。 
(3) MUF曲線より高い周波数は、 （　ウ　） ので、通信用として実用にならない。 
(4) 一般に、 （　エ　） には高い周波数よりも低い周波数が通信に適している。 
(5) 最適使用周波数 (FOT) は、MUFの （　オ　） 〔％〕の周波数をいう。",img/202502_Kougaku_B_(1).png,できない｜ 大きい｜ 電離層を突き抜ける｜ 昼間 ｜ 85｜できる｜小さい｜電離層での減衰が大きい｜夜間｜ 50 ,6-2-3-9-5,,
binary,2025,前期,無線工学,次の記述は、増幅回路に負帰還をかけた場合の一般的な効果について、かけない場合との比較を述べたものである。このうち正しいものを1、誤っているものを2として解答せよ。 ,,ア  利得が増加する。 ｜イ  増幅回路の内部で発生するひずみや雑音が減少する。 ｜ウ  温度や電源電圧の変動などに対して増幅回路の利得が安定になる。 ｜エ  入出力のインピ－ダンスは変化しない。 ｜オ  利得の周波数特性を改善する（帯域幅を広げる）ことができる。 ,2-1-1-2-1,,
multi,2025,前期,無線工学,"次の記述は、無線通信の変調について述べたものである。（　　　）内に入れるべき字句を下の番号から選べ。なお、同じ記号の 内 には、同じ字句が入るものとする。
 
(1) アナログ変調には、アナログ信号で搬送波の振幅、周波数、 （　ア　） を変化させる方式がある。 
(2) (1)において、搬送波の振幅を変化させる方式をAM、周波数を変化させる方式をFM、 （　ア　） を変化させる方式を （　イ　） という。 
(3) デジタル変調において、デジタル信号の「0」と「1」に応じて、搬送波の振幅を変化させる方式を （　ウ　） という。 
(4) デジタル変調において、デジタル信号の「0」と「1」に応じて、搬送波の周波数を変化させる方式を （　エ　） という。 
(5) デジタル変調において、QAMという方式は、搬送波の （　オ　） の二つのパラメータを用いて、伝送する方式である。",,時間 ｜PCM｜ ASK｜FSK｜ 振幅と位相  ｜位相｜ PM ｜ PSK ｜  ARQ ｜  振幅と周波数 ,6-7-3-4-5,,
multi,2025,前期,無線工学,"次の記述は、AM (A3E) 通信方式と比べたときのFM (F3E) 通信方式の一般的な特徴について述べたものである。 (　　　)内に入れるべ き字句を下の番号から選べ。
 
(1) 占有周波数帯幅が （　ア　） 。 
(2) パルス性雑音の影響を （　イ　） 。 
(3) 主に （　ウ　） の周波数で多く用いられる。 
(4) 希望波の信号の強さが混信妨害波よりある程度 （　エ　） ときは、混信妨害を受けにくい。 
(5) 受信電波の強度があるレベル （　オ　） になると、受信機出力の信号対雑音比(S/N)が急激に悪くなる。",,広い｜受けやすい｜中波(MF)帯及び短波(HF)帯 ｜強い｜以下 ｜ 狭い｜受けにくい｜超短波(VHF)帯及び極超短波(UHF)帯  ｜弱い ｜以上,1-7-8-4-5,,
multi,2025,前期,無線工学,"次の記述は、捜索救助用レーダートランスポンダ (SART) について述べたものである。（　　　）内に入れるべき字句を下の番号から選 べ。ただし、小型船舶用を除く。
 
(1) SARTに使用される周波数帯は、 （　ア　） 〔GHz〕帯である。 
(2) SARTの電波を放射するアンテナの水平面内指向性は、 （　イ　） である。 
(3) 捜索側の船舶又は航空機がSARTの電波を受信すると、そのレーダーの表示器上に （　ウ　） 個の輝点列が表示される。 
(4) 表示器上の輝点列によってSARTまでの （　エ　） を知ることができる。 
(5) 電池の容量は、96時間の待受状態の後、連続 （　オ　） 時間支障なく動作させることができることが要求されている。",, 6    ｜ 9    ｜12   ｜ 単一指向性   ｜全方向性｜ 8 ｜ 24 ｜ 15 ｜方位のみ｜距離及び方位,2-5-3-10-6,,
normal,2024,後期,無線工学,"次の記述は、図に示す交流回路について述べたものである。内に入れるべき字句の正しい組合せを下の番号から選べ。

( 1 )Lの誘導リアクタンスの大きさは、（　A　）Ωである。
(２)LとRの合成インビ ー ダンスの大きさは、（　 B　）Ω である。
( 3 )回路に流れる電流 Iの大きさは、（　C　）Ωである。",img/202408_Kougaku_A_(1).png,"1　　A：(ωL)²　　　B：ωL+R　　　　　　　   C：V/√((ωL)²+R²)｜2　　A：(ωL)²　　　B：√((ωL)^2+R^2)　　　C：V/(ωL+R)｜3　　A：ωL　　　　 B：√((ωL)²+R^²)	　C：V/√((ωL)²+R²)　｜4　　A：ωL　　　　 B：ωL+R　　　　　　　   C：V/(ωL+R)｜5　　A：ωL　　　　 B：√((ωL)²+R²)	　　　　 C：V/(ωL+R)",3,,
normal,2024,後期,無線工学,図に示す交流回路において、負荷の有効電力(消費電力)が 280 〔 W 〕、負荷の力率がcosθ 0.8 であるとき、電源から流れる電流Ⅰの値として、正しいものを下の番号から選べ。ただし、電源の電圧の値を 100 〔Ⅳ〕とする。,img/202408_Kougaku_A_(2).png,1　　5.0（A）｜2　　4.5（A）｜3　　4.0（A）｜4　　3.5（A）｜5　　2.5（A）,4,,
normal,2024,後期,無線工学,次の記述は、バイボーラトランジスタと比較したときの電界効果トランジスタ (FET) の一般的な特徴等について述べたものである。このうち誤っているものを下の番号から選べ。,,1　　電流で電圧を制御する電流制御素子である｜2　　電子又は成功のどちらかのキャリアだけで動作する｜3　　入力インピーダンスが大きい｜4　　雑音が少ない｜5　　複合系とMOS径がある,1,,
normal,2024,後期,無線工学,"次の記述は、増幅回路 AP の電圧利得について述べたものである。（　　）内に入れるべき字句の正しい組合せを下の番号から選べ。

(1) 図に示す増幅回路 AP の電圧利得 G は、 G＝（　Ä 　）×log10(Vo/Vi)〔 dB 〕で表される。
②したがって、電圧利得 G が、 60 〔 dB 〕の増幅回路 AP の電圧増幅度(真数)は、（　B　）である。",img/202408_Kougaku_A_(4).png,1　　A：20　　　　　B：100｜2　　A：20　　　　　B：1000｜3　　A：10　　　　　B：10000｜4　　A：10　　　　　B：1000｜5　　A：10　　　　　B：100,2,,
normal,2024,後期,無線工学,"次の記述は、送信機等に用いられる発振器の周囲温度や湿度及び負荷の変化による発振周波数の変動の原因とその防止策につい述べたものである。内に入れるべき字句の正し、組合せを下の番号から選べ 

(1) 温度や湿度が変化すると、共振回路のインピ ー ダンスが変化し、発振周波数が変動する。これを防ぐには、水晶発振器では、水晶振動子を含む発振回路等を（　A　）に入れる方法がある。 
(2)発振器に結合する負荷の入力インピ― ダンスや結合度が変化すると、共振回路のインピーダンスが変化し、発振周波数が変動する。これを防ぐには、発振器と負荷との間の結合を（　B　）にしたり、（　C　）を用いる方法がある。",,1　　A：電磁遮蔽箱　　　B：密　　　C：緩衝｜2　　A：電磁遮蔽箱　　　B：疎　　　C：励振｜3　　A：電磁遮蔽箱　　　B：疎　　　C：緩衝｜4　　A：恒温槽　　　　　B：密　　　C：励振｜5　　A：恒温槽　　　　　B：疎　　　C：緩衝,5,,
normal,2024,後期,無線工学,次の記述は、 DSB(A3E) 送信機に必要な条件について述べたものである。このうち、誤っているものを下の番号から選べ,,1　一般的に、電気効率が高いこと｜2　送信される電波の占有周波数帯幅は、許容値内であること｜3　送信される電波の周波数は、正確かつ安定であり、その偏差は常に許容される値より大きいこと｜4　スプリアス発射が少なく、その強度が許容値内であること,3,,
normal,2024,後期,無線工学,"次の記述は、図に示す原理的な構成による SSB (J3E) 信号の発生について述べたものである。（　　　）内に人れるべき字句の正しい組合せを下の番号から選べ。ただし、変調信号の周波数をℱs〔H z 〕及び搬送波の周波数をℱc〔H z 〕とする。また、帯域フィルタ (BPF) は、上側波を通過させるものとする。

(1) 平衡変調器の出力アの周波数成分は、(　A　）である。
(2) 帯域フィルタ( BPF )の出力イの周波数成分は、(　B　）である。",img/202408_Kougaku_A_(7).png,1　　A：fcとfs　　　　　　　　   B：fc-fs｜2　　A：fcとfc-fsとfc+fs　　　　B：fc+fs｜3　　A：fcとfc-fsとfc+fs　　　　B：fc-fs｜4　　A：fc-fsとfc+fs　　　　　　B：fc+fs｜5　　A：fc-fsとfc+fs　　　　　　B：fc-fs,4,,
